,User_Name,Name,Description (Status),Tweets Posted,Location,No of Followers,Device Used for Tweet,Date of Tweet Creation,No of Friends
257,GaneshNayakK,Ganesh Nayak K 🇮🇳,"Director, STPI(Software Technology Parks of India) GoI, Thiruvananthapuram, #Kerala 
@stpitvpm 
@stpiindia
(Views r personal, RTs & Likes r not endorsements)",RT @arvindtw: Exclusive interview of Hon’ble MoS @GoI_MeitY Sh. @Rajeev_GoI with @TimesNow on the government’s recent announcements in #Bud…,Thiruvananthapuram,1709,Twitter for Android,2022-02-07 05:44:08+00:00,340
258,DhkShenava,Dhananjaya K Shenava,,RT @arvindtw: Exclusive interview of Hon’ble MoS @GoI_MeitY Sh. @Rajeev_GoI with @TimesNow on the government’s recent announcements in #Bud…,India ,158,Twitter Web App,2022-02-07 05:44:02+00:00,206
259,DhkShenava,Dhananjaya K Shenava,,"RT @stpiindia: #STPIUPDATE: Glimpses of Sh. Arvind Kumar, DG, #STPIINDIA sharing thoughts on #Budget2022 on @News18India, addressing at a w…",India ,158,Twitter Web App,2022-02-07 05:43:52+00:00,206
260,CAGChennai,CAG Chennai,"CAG is an NGO, non-political and professional organisation that works towards protecting citizens' rights in consumer & environmental issues",India has the second highest road density in the world and the highest number of road crash-related fatalities. Wit… https://t.co/3R3JH4mN6D,"Chennai, India",611,Twitter Web App,2022-02-07 05:43:41+00:00,303
261,moresulaksh,Sulaksh M More 🇮🇳,Writer - Blogger - Life - Travel,"@PFDonato NEW POST: https://t.co/w1DbWE9xX6

#writing #india #coin #crypto #free #Budget2022 #mining #WritingCommunity","Pune , Maharashtra",677,Twitter Web App,2022-02-07 05:43:35+00:00,1569
262,vijaybalmi,vijay balmi,,"RT @Omkar_Raii: Initiatives like extension of tax holiday for startups, reduction in tax burden for investors in startups, and modernizatio…",,32,Twitter Web App,2022-02-07 05:43:19+00:00,18
263,moresulaksh,Sulaksh M More 🇮🇳,Writer - Blogger - Life - Travel,"@CatsFanCalli NEW POST: https://t.co/w1DbWE9xX6

#writing #india #coin #crypto #free #Budget2022 #mining #WritingCommunity","Pune , Maharashtra",677,Twitter Web App,2022-02-07 05:43:04+00:00,1569
264,vijaybalmi,vijay balmi,,"RT @rsprasad: .@narendramodi Govt is committed to the welfare of farmers.

Since the launch of PM- Kisan it has provided income support to…",,32,Twitter Web App,2022-02-07 05:42:48+00:00,18
265,DhkShenava,Dhananjaya K Shenava,,RT @arvindtw: The government allocating Rs. 283.5 crore for the #StartupIndia Seed Fund Scheme in the #Budget2022 is a commendable step tow…,India ,158,Twitter Web App,2022-02-07 05:42:26+00:00,206
266,AbdusSu28704602,Abdus Subhan,social media trainee in krishi jagran,"RT @kjhindi: Krishi Jagran live Discussion ""Budget Ki Baat Kisano Ke Sath""
08 February 2022 | 3 Pm onwards
Watch live on: https://t.co/Qc4r…","Green Park,Delhi",0,Twitter Web App,2022-02-07 05:42:01+00:00,1
267,amitkureel0304,amit.kureel,"Chief Operating Officer, MOTION CoE, STPI Pune","RT @Omkar_Raii: Initiatives like extension of tax holiday for startups, reduction in tax burden for investors in startups, and modernizatio…",,9,Twitter for Android,2022-02-07 05:41:39+00:00,59
268,Mahmadkn,Mk🕊️khan....Ⓜ️,"follow me congress... No DM

फोलो करते जाओ FB मिलते जायेगा,,","RT @Diya4RG: Budget 2022 
#BUDGET2022 
#Budget 
#Budget22 
#BudgetBytes",India,2416,Twitter for Android,2022-02-07 05:41:32+00:00,2760
269,sumitagarwal_IN,Sumit Agarwal 🇮🇳,"National Secretary- Confederation of All India Traders @CAITIndia, World’s largest Trade Body | राष्ट्रीय सचिव- अखिल भारतीय व्यापारी परिसंघ | Tweets Mine","RT @CNBCTV18News: FM meets India Inc | Capital expenditure spent rightly would result in a multiplier effect, @ficci_india President &amp; CMD…",New Delhi/ Gurgaon,11723,Twitter for iPhone,2022-02-07 05:41:17+00:00,707
270,yash_speaks,yash chotai,"#વેપારી #Medicine #Ahmedabad #Gujju #ViewsPersonal #SundayCook  
On my way to be perfect, may be little late 
Insta- @yash_speaks",@ohbatra That's crypto after #Budget2022,"Ahmedabad, Gujarat, India",1247,Twitter for Android,2022-02-07 05:41:14+00:00,576
271,anita_upadhayay,Anita Upadhayay,,"RT @stpiindia: #STPIUPDATE: Glimpses of Sh. Arvind Kumar, DG, #STPIINDIA sharing thoughts on #Budget2022 on @News18India, addressing at a w…",India,75,Twitter Web App,2022-02-07 05:41:14+00:00,85
272,alamakhtar2,alam.akhtar,"Deputy Director,STPI",RT @arvindtw: The government allocating Rs. 283.5 crore for the #StartupIndia Seed Fund Scheme in the #Budget2022 is a commendable step tow…,,61,Twitter Web App,2022-02-07 05:39:20+00:00,178
273,Raul00755879308,Raul007,views purely personal | #MyLeaderRahulGandhi,"RT @NarulaAakriti: Oh this is new @zomato, apart from the tax, not sure if the restaurants charged for packaging before either. 
Repercussi…",,132,Twitter for iPhone,2022-02-07 05:39:07+00:00,1328
274,Valueonshore,Valueonshore Advrs,"Valueonshore Advisors partners collaboratively with clients to enhance operations, capitalize on business opportunities and enable future growth.","In the #Budget2022, Hon’ble Finance Minister, Ms. Nirmala Sitharaman, announced a new regime for the taxation on Vi… https://t.co/EY3ivPs5Mp",India,137,Metricool,2022-02-07 05:38:22+00:00,111
275,sachinraghav846,Dog bless you,,RT @drankitgupta37: The #Budget has laid the foundation and a roadmap for the economy over the next 25 years. The Park Group of Hospitals i…,,0,Twitter for Android,2022-02-07 05:38:16+00:00,2
276,anita_upadhayay,Anita Upadhayay,,RT @arvindtw: The government allocating Rs. 283.5 crore for the #StartupIndia Seed Fund Scheme in the #Budget2022 is a commendable step tow…,India,75,Twitter Web App,2022-02-07 05:38:14+00:00,85
277,DeshBhakt_Anil,Sadhu Anil Nimavat,"स्वदेसी अपनाये देश बचाइये, मेरा भारत महान था है और रहेगा",RT @ashutoshpkanak: Government needs employment booster in budget instead of vaccine booster #Budget2022 #BudgetSession2022 #antivaxx,,222,Twitter for Android,2022-02-07 05:37:41+00:00,370
278,TimsyJaipuria,Timsy Jaipuria,"Associate Editor with CNBC TV18 , formerly with @httweets @FinancialXpress @TheDailyPioneer | @LSRELSA @LSRDU alumni","RT @CNBCTV18News: FM meets India Inc | Capital expenditure spent rightly would result in a multiplier effect, @ficci_india President &amp; CMD…","New Delhi, India",14535,Twitter for Android,2022-02-07 05:37:34+00:00,755
279,alamakhtar2,alam.akhtar,"Deputy Director,STPI","RT @stpiindia: #STPIUPDATE: Glimpses of Sh. Arvind Kumar, DG, #STPIINDIA sharing thoughts on #Budget2022 on @News18India, addressing at a w…",,61,Twitter Web App,2022-02-07 05:37:02+00:00,178
280,Science77426480,Science facts,,Union Budget 2022 Highlights l #Budget2022 #NirmalaSitharaman #BudgetNew... https://t.co/V9RGLoZgUQ via @YouTube… https://t.co/7fnjy8VLZC,,0,Twitter Web App,2022-02-07 05:35:58+00:00,8
281,_sommishra,Som Mishra👽♤,"🇮🇳💝Nation first, A simple human being - with unusual dreams ✨

-TO THE MANNER BORN. @_sommishra","RT @imeerage: People who live on subsidies have bigger say in framing narrative and they are bigger vote bank.

Because people who genuinel…","New Delhi, India",603,Twitter for Android,2022-02-07 05:35:13+00:00,838
282,arulstpicbe,Arul Suresh Kumar,STPI-Coimbatore,"RT @stpiindia: #STPIUPDATE: Glimpses of Sh. Arvind Kumar, DG, #STPIINDIA sharing thoughts on #Budget2022 on @News18India, addressing at a w…",India,35,Twitter Web App,2022-02-07 05:34:48+00:00,52
283,aruproytweets,Arup Roychoudhury,"Associate Editor @bsindia | Economic Policy, Political Economy | Previous: @moneycontrolcom @FinancialXpress @Reuters | Usual disclaimers apply.",RT @bsindia: #BSMornnigShow | Business Standard’s @aruproytweets and @Armilu spoke to Revenue Secretary Tarun Bajaj to know about revenue e…,New Delhi,4194,Twitter for Android,2022-02-07 05:34:39+00:00,992
284,nishant_taak,Nishant Taak,I am working in Krishi Jagran as Digital Head.,"RT @kjhindi: Krishi Jagran live Discussion ""Budget Ki Baat Kisano Ke Sath""
08 February 2022 | 3 Pm onwards
Watch live on: https://t.co/Qc4r…","New Delhi, India",26,Twitter Web App,2022-02-07 05:34:08+00:00,61
285,superteamup,Community by GoSquad,We amplify the voices of community builders. 🎉 Double your organic reach on all social platforms with https://t.co/Txesxe3a8U 🎉,"RT @mPokketOfficial: Catch #mPokket CEO and founder Gaurav Jalan sharing his thoughts on #unionbudget2022 with https://t.co/5C1I0xl4x9.

Cl…",,2500,EngineeringTeam,2022-02-07 05:33:55+00:00,0
286,Productier1,Productier by GoSquad,We amplify #product content ✌️ Grow your reach on all channels with GoSquad.,"RT @mPokketOfficial: Catch #mPokket CEO and founder Gaurav Jalan sharing his thoughts on #unionbudget2022 with https://t.co/5C1I0xl4x9.

Cl…",,1328,Product-bot,2022-02-07 05:33:15+00:00,1
287,AarzooVishnoi,Aarzoo Vishnoi,I'm really a giant cupcake🥞.Afraid of roller coasters and dry ice,"RT @mPokketOfficial: Catch #mPokket CEO and founder Gaurav Jalan sharing his thoughts on #unionbudget2022 with https://t.co/5C1I0xl4x9.

Cl…",,190,Twitter for Android,2022-02-07 05:33:13+00:00,857
288,jaggu_smilesin,Jagadeesh,"Joint Director@STPI, MeitY, Govt of India.","RT @stpiindia: #STPIUPDATE: Glimpses of Sh. Arvind Kumar, DG, #STPIINDIA sharing thoughts on #Budget2022 on @News18India, addressing at a w…","Chennai, India",36,Twitter for Android,2022-02-07 05:32:16+00:00,101
289,buzzsubash,Subash Krishnan,Data storage architect@HPE. FnO Trader. Investor.,"RT @hyd_trader1: Totally sideways market
Dont expect any good moves this week
#banknifty
#BANKNIFTYFUTURE #Niftybank #NIFTYFUTURE #niftyaut…",Singapore,1481,Subash Auto Tweet Bot,2022-02-07 05:31:26+00:00,117
290,jaggu_smilesin,Jagadeesh,"Joint Director@STPI, MeitY, Govt of India.",RT @arvindtw: Exclusive interview of Hon’ble MoS @GoI_MeitY Sh. @Rajeev_GoI with @TimesNow on the government’s recent announcements in #Bud…,"Chennai, India",36,Twitter for Android,2022-02-07 05:30:44+00:00,101
291,cmalearnohub,CMA Learnohub,"A helping hand to our cma community 🙂🙂 

It is handled by a Cma Intermediate Student  @itsme_srihari","RT @taxologyin: Part 1 of Budget Highlights - 2022

#budget #gstupdates #taxology #incometax #budgetfriendly #inputtaxcredit #tata #ril #zo…",Tamilnadu,3,Twitter for Android,2022-02-07 05:30:28+00:00,38
292,ET_Wealth,ET Wealth,Here's all the help you need this #TaxSaving season: https://t.co/ybAu5lY95K | A Times Internet Product. Send queries: etwealth@timesgroup.com,#Budget 2022 #cryptocurrency #tax #rules leave little on table for #investors : 6 ways #Crypto #investors will be i… https://t.co/WgDfYMeQbG,"New Delhi, India",66869,TweetDeck,2022-02-07 05:30:00+00:00,48
293,akshayaraul0920,Akshaya Patil,Akshaya patil,"RT @KJSBank: We would like to invite you for a speech on Union Budget 2022 by renowned economist Dr. (C.A.) Vinayak Govilkar ji.

The said…",,5,Twitter for Android,2022-02-07 05:29:49+00:00,4
294,56perumal,PERUMAL PILLAI N 🇮🇳,BJP Cyber  Warrior--Bank Officer(Rtd)  --Proud Hindu  --Sanghi.,"RT @IncomeTaxIndia: Budget Highlights:
Key Direct Tax proposals in Union Budget 2022. 
➡️A new section 139(8A) is proposed to be inserted,…", tamilnadu,43315,Twitter Web App,2022-02-07 05:29:36+00:00,41818
295,L0V3_Bz,Dilli,,"RT @CNBCTV18News: FM meets India Inc | Capital expenditure spent rightly would result in a multiplier effect, @ficci_india President &amp; CMD…",😙 🇮🇳,3,Twitter for Android,2022-02-07 05:29:33+00:00,89
296,56perumal,PERUMAL PILLAI N 🇮🇳,BJP Cyber  Warrior--Bank Officer(Rtd)  --Proud Hindu  --Sanghi.,"RT @IncomeTaxIndia: Budget Highlights:
Key Direct Tax proposals in Union Budget 2022. 
➡️A new section 158AB is proposed to be inserted, pr…", tamilnadu,43315,Twitter Web App,2022-02-07 05:29:33+00:00,41818
297,56perumal,PERUMAL PILLAI N 🇮🇳,BJP Cyber  Warrior--Bank Officer(Rtd)  --Proud Hindu  --Sanghi.,"RT @IncomeTaxIndia: Budget Highlights:
Key Direct Tax proposals in Union Budget 2022. 
➡️Date for commencement of manufacturing or producti…", tamilnadu,43315,Twitter Web App,2022-02-07 05:29:30+00:00,41818
298,56perumal,PERUMAL PILLAI N 🇮🇳,BJP Cyber  Warrior--Bank Officer(Rtd)  --Proud Hindu  --Sanghi.,"RT @IncomeTaxIndia: Budget Highlights:
Key Direct Tax proposals in Union Budget 2022. 
➡️Date of incorporation of eligible start-ups is pro…", tamilnadu,43315,Twitter Web App,2022-02-07 05:29:27+00:00,41818
299,56perumal,PERUMAL PILLAI N 🇮🇳,BJP Cyber  Warrior--Bank Officer(Rtd)  --Proud Hindu  --Sanghi.,"RT @IncomeTaxIndia: Key Direct Tax proposals in Union Budget 2022. 
➡️Employees of State Government to be placed at par with employees of C…", tamilnadu,43315,Twitter Web App,2022-02-07 05:29:24+00:00,41818
300,56perumal,PERUMAL PILLAI N 🇮🇳,BJP Cyber  Warrior--Bank Officer(Rtd)  --Proud Hindu  --Sanghi.,"RT @IncomeTaxIndia: Budget Highlights:
Key Direct Tax proposals in Union Budget 2022. 
➡️Tax relief is proposed for persons with disability…", tamilnadu,43315,Twitter Web App,2022-02-07 05:29:21+00:00,41818
301,56perumal,PERUMAL PILLAI N 🇮🇳,BJP Cyber  Warrior--Bank Officer(Rtd)  --Proud Hindu  --Sanghi.,"RT @IncomeTaxIndia: Budget Highlights:
Key Direct Tax proposals in Union Budget 2022. 
➡️Procedure pertaining to reopening of assessments i…", tamilnadu,43315,Twitter Web App,2022-02-07 05:29:19+00:00,41818
302,56perumal,PERUMAL PILLAI N 🇮🇳,BJP Cyber  Warrior--Bank Officer(Rtd)  --Proud Hindu  --Sanghi.,"RT @IncomeTaxIndia: Budget Highlights:
Key Direct Tax proposals in Union Budget 2022. 
➡️Faceless Assessment Scheme is proposed to be furth…", tamilnadu,43315,Twitter Web App,2022-02-07 05:29:17+00:00,41818
303,56perumal,PERUMAL PILLAI N 🇮🇳,BJP Cyber  Warrior--Bank Officer(Rtd)  --Proud Hindu  --Sanghi.,"RT @IncomeTaxIndia: Budget Highlights:
Key Direct Tax proposals in Union Budget 2022. 
➡️The exemption regimes pertaining to charitable tru…", tamilnadu,43315,Twitter Web App,2022-02-07 05:29:14+00:00,41818
304,56perumal,PERUMAL PILLAI N 🇮🇳,BJP Cyber  Warrior--Bank Officer(Rtd)  --Proud Hindu  --Sanghi.,"RT @IncomeTaxIndia: Budget Highlights:
Key Direct Tax proposals in Union Budget 2022. 
➡️It is proposed to amend section 119 to enable CBDT…", tamilnadu,43315,Twitter Web App,2022-02-07 05:29:11+00:00,41818
305,56perumal,PERUMAL PILLAI N 🇮🇳,BJP Cyber  Warrior--Bank Officer(Rtd)  --Proud Hindu  --Sanghi.,"RT @IncomeTaxIndia: Budget Highlights:
Key Direct Tax proposals in Union Budget 2022. 
➡️To further incentivize the growth of the financial…", tamilnadu,43315,Twitter Web App,2022-02-07 05:29:09+00:00,41818
306,56perumal,PERUMAL PILLAI N 🇮🇳,BJP Cyber  Warrior--Bank Officer(Rtd)  --Proud Hindu  --Sanghi.,"RT @IncomeTaxIndia: Budget Highlights:
Key Direct Tax proposals in Union Budget 2022. 
➡️Provisions related to surcharge on capital gains a…", tamilnadu,43315,Twitter Web App,2022-02-07 05:29:05+00:00,41818
307,56perumal,PERUMAL PILLAI N 🇮🇳,BJP Cyber  Warrior--Bank Officer(Rtd)  --Proud Hindu  --Sanghi.,"RT @IncomeTaxIndia: Budget Highlights:
Key Direct Tax proposals in Union Budget 2022. 
➡️Alternate Minimum Tax (AMT) and Surcharge on  co-o…", tamilnadu,43315,Twitter Web App,2022-02-07 05:29:02+00:00,41818
308,56perumal,PERUMAL PILLAI N 🇮🇳,BJP Cyber  Warrior--Bank Officer(Rtd)  --Proud Hindu  --Sanghi.,"RT @IncomeTaxIndia: Budget Highlights :
Key Direct Tax proposals in Union Budget 2022. 
➡️Provisions relating to deduction/collection at hi…", tamilnadu,43315,Twitter Web App,2022-02-07 05:29:00+00:00,41818
309,56perumal,PERUMAL PILLAI N 🇮🇳,BJP Cyber  Warrior--Bank Officer(Rtd)  --Proud Hindu  --Sanghi.,"RT @IncomeTaxIndia: Budget Highlights:
Key Direct Tax proposals in Union Budget 2022. 
➡️A scheme for taxation of virtual digital assets is…", tamilnadu,43315,Twitter Web App,2022-02-07 05:28:58+00:00,41818
310,56perumal,PERUMAL PILLAI N 🇮🇳,BJP Cyber  Warrior--Bank Officer(Rtd)  --Proud Hindu  --Sanghi.,"RT @IncomeTaxIndia: Key Direct Tax proposals in Union Budget 2022. 
➡️The proposed taxation regime for virtual digital assets includes prov…", tamilnadu,43315,Twitter Web App,2022-02-07 05:28:55+00:00,41818
311,CNBCTV18News,CNBC-TV18,"Follow business news with India's Leading Business News Channel, CNBC-TV18. For more updates, follow @CNBCTV18Live.

Telegram: https://t.co/OggDVMbmdE","FM meets India Inc | Capital expenditure spent rightly would result in a multiplier effect, @ficci_india President… https://t.co/l6diQvyz9G",,1018332,Twitter Media Studio - LiveCut,2022-02-07 05:28:30+00:00,178
312,56perumal,PERUMAL PILLAI N 🇮🇳,BJP Cyber  Warrior--Bank Officer(Rtd)  --Proud Hindu  --Sanghi.,"RT @CNBCTV18Live: Finance Minister @nsitharaman speaks at the @ficci_india National Executive Committee meeting, says economic recovery is…", tamilnadu,43315,Twitter Web App,2022-02-07 05:28:22+00:00,41818
313,56perumal,PERUMAL PILLAI N 🇮🇳,BJP Cyber  Warrior--Bank Officer(Rtd)  --Proud Hindu  --Sanghi.,"RT @CNBCTV18News: #Budget2022 | 'Indian businesses should ensure that India doesn't miss the bus this time like we did in 2011-12, also nee…", tamilnadu,43315,Twitter Web App,2022-02-07 05:28:06+00:00,41818
314,azeezhussain,Azeez Hussain,"Likes and retweets are not endorsement. Views, opinion and information expressed herein are personal, doesn't reflect that of the Organization I work for.",RT @satishacharya: Blueprint for 25 years! #Budget2022 https://t.co/X3NZ5cmMdH,"Bengaluru, India",93,Twitter for Android,2022-02-07 05:28:06+00:00,796
315,hyd_trader1,Hyderabadi Trader,"Not SEBI Registered
 | Trendline breakout trader | Harmonic Background |
Swing trader | Option Seller |
Views expressed are personal","Totally sideways market
Dont expect any good moves this week
#banknifty
#BANKNIFTYFUTURE #Niftybank #NIFTYFUTURE… https://t.co/WbcsDLCH8J","Hyderabad, India",74,Twitter for Android,2022-02-07 05:27:44+00:00,31
316,sujitkumar4bjp,Sujit Kumar,"भारतीय जनता युवा मोर्चा,पूर्व राष्ट्रीय कार्यसमिति सदस्य","RT @rsprasad: .@narendramodi Govt is committed to the welfare of farmers.

Since the launch of PM- Kisan it has provided income support to…",Delhi/Bihar/Vaishali/India,7240,Twitter for Android,2022-02-07 05:27:36+00:00,466
317,UmeshJhaJi,Umesh Kumar Jha,,"RT @rsprasad: .@narendramodi Govt is committed to the welfare of farmers.

Since the launch of PM- Kisan it has provided income support to…",,8859,Twitter for Android,2022-02-07 05:26:09+00:00,8781
318,Nagaraj70685699,Nagaraju B,,"RT @stpiindia: #STPIUPDATE: Glimpses of Sh. Arvind Kumar, DG, #STPIINDIA sharing thoughts on #Budget2022 on @News18India, addressing at a w…",,1,Twitter for Android,2022-02-07 05:25:57+00:00,3
319,nrmohanraj,Model T-800,"“It’s an imperfect world, but it’s the only one we got”",RT @JeyaranjanE: #Budget2022 how much tax do we pay!? https://t.co/IpZJbahg2p,"13.0827° N, 80.2707° E, C-53",119,Twitter for iPhone,2022-02-07 05:25:15+00:00,642
320,pankaj623257,Pankaj Kumar,,"RT @EbixCash: Catch exclusive views of Robin Raina, Chairman - EbixCash on TV9 BharatVarsh as he analyses various aspects of the Budget 202…",,20,Twitter Web App,2022-02-07 05:24:49+00:00,1
321,naashonomics,naashonomics,"life is a series of now moments, code for a living, invest in #crypto #stocks , Center right on #economy liberal in values","#budget2022 Income from digital assets taxable even today, says Revenue secretary Tarun Bajaj https://t.co/ECP9zHzGOt",San Jose,4080,Twitter Web App,2022-02-07 05:24:31+00:00,4991
322,ImranChNSNews,Chinto,آپ کا بائیو سے کیا واسطہ,"RT @EdwinaKaJeth: Curse me later !

#KachaBadam #Budget2022 https://t.co/047wyBDi1R","Islamabad, Houston ",1462,Twitter for iPhone,2022-02-07 05:23:52+00:00,1642
323,LaxmiSingh02,Laxmi Singh,जिसे तुम इश्क़ कहते हो उसे हम हिंदुस्तान कहते हैं 🇮🇳 𝐍𝐨 𝐃𝐌 𝐈 𝐰𝐢𝐥𝐥 𝐁𝐥𝐨𝐜𝐤 Previous Acc @LaxmiSingh_1 Suspended credit given by https://t.co/5e0wFW,"RT @Diya4RG: Budget 2022 
#BUDGET2022 
#Budget 
#Budget22 
#BudgetBytes",,9974,Twitter for iPhone,2022-02-07 05:23:33+00:00,743
324,NHforEV,National Highways for EV,"""National Highway for Electric Vehicle (EV)- An Ease of Doing Business pilot @Eodb_in initiative for Electric Mobility Sector. Ph- +91 11-41059899",Read National Program Director @EODB_IN Mr. @Abhijeet_Sinhaa views on #Budget2022 announcement on #BatterySwapping… https://t.co/hIzom20ejr,"New Delhi, India",77,Twitter for iPhone,2022-02-07 05:22:34+00:00,14
325,AnuragY00631218,Anurag Yadav,AnuragY00631218,"RT @CoinDCX: 📢 Live Session Alert!! 📢

Join us as we discuss and break down the Crypto Tax Updates with experts from CoinDCX &amp; @BlackbyClea…",,0,Twitter for Android,2022-02-07 05:22:17+00:00,5
326,NiketShrivast10,Niket Shrivastava,I am Niket Shrivastava working as a marketing executive in Krishi Jagran Media.,"RT @kjhindi: Krishi Jagran live Discussion ""Budget Ki Baat Kisano Ke Sath""
08 February 2022 | 3 Pm onwards
Watch live on: https://t.co/Qc4r…",,0,Twitter Web App,2022-02-07 05:22:02+00:00,1
327,Debjyotisaha217,Debjyoti Saha,"Visual Storyteller and Animation Filmmaker
| National Institute of Design | 
Mumbai, Maharashtra",RT @satishacharya: Blueprint for 25 years! #Budget2022 https://t.co/X3NZ5cmMdH,"Mumbai, India",828,Twitter for Android,2022-02-07 05:21:59+00:00,31
328,AparnaBhanu,Bhanu Aparna,No DM please,"RT @EbixCash: Deep dive into #Budget2022: Robin Raina, Chairman-EbixCash, gives a detailed analysis of the impact on the #economy and on ou…",,740,Twitter for Android,2022-02-07 05:21:37+00:00,423
329,alamakhtar2,alam.akhtar,"Deputy Director,STPI",RT @arvindtw: Exclusive interview of Hon’ble MoS @GoI_MeitY Sh. @Rajeev_GoI with @TimesNow on the government’s recent announcements in #Bud…,,61,Twitter Web App,2022-02-07 05:21:28+00:00,178
330,gchikermane,Gautam Chikermane,"Sri Aurobindo | VP @orfonline | Economics, Politics, Mahabharata, Dhrupad | New book #India2030 — buy here https://t.co/LR1UM7XR68","RT @orfonline: Finance Minister #NirmalaSitharaman's budget remains unassuming in grand announcements, matter of fact in its outlook, and d…",Delhi | Pondicherry,56738,Twitter for iPhone,2022-02-07 05:21:19+00:00,434
331,bemoneyaware,bemoneyaware,"Mother, Reader, Learner, Software Eng, Author of Books  on Income Tax, Paperwork. Book & Workbook on Money for Children, Not from Finance, simplifying finance","Sectors/Stocks which might benefit from Budget 2022?
#Budget2022 #stocks https://t.co/LeQB12ehib",India,4967,Twitter Web App,2022-02-07 05:20:58+00:00,157
332,Ismartankit88,Ankit kumar,Students,"RT @CoinDCX: 📢 Live Session Alert!! 📢

Join us as we discuss and break down the Crypto Tax Updates with experts from CoinDCX &amp; @BlackbyClea…",,0,Twitter Web App,2022-02-07 05:19:30+00:00,3
333,ICSIIndia,ICSI- International Chamber for Service Industry,ICSI is a platform to bring together  the service industry working collaboratively. Presently Focusing Making Education Relevant for life Skills,"""Reinstate Women Rights Webinar Series""
FRIDAY, 11  FEBRUARY, 2022 || 8 pm(IST)

"" Overview of Union Budget 2022: S… https://t.co/kovQATMThp",New Delhi,116,Twitter Web App,2022-02-07 05:19:17+00:00,299
334,Shivasai_143,Shivasai,"#shivasai_143 

❤️iam big fan @alluarjun anna 💗


❤️ My Angel @MsKajalAggarwal 🌹🌹","RT @EbixCash: Deep dive into #Budget2022: Robin Raina, Chairman-EbixCash, gives a detailed analysis of the impact on the #economy and on ou…","Nalgonda, India",111,Twitter for Android,2022-02-07 05:18:58+00:00,98
335,investmentz_acm,Investmentz.com,We provide an online investing platform for all your investment needs. Download the app for making any investment on the go: https://t.co/W7yzRzFfqp,"Q3FY22 Key Results Today
#Q3FY22KeyResult #follow #investmentz #asitcmehta #KeyResult #keyresultreport #Budget2022… https://t.co/JtqKB6aC53",Branches all over India,13078,Twitter Web App,2022-02-07 05:18:11+00:00,1391
336,AwasthySunil,Sunil Awasthy,,"RT @stpiindia: #STPIUPDATE: Glimpses of Sh. Arvind Kumar, DG, #STPIINDIA sharing thoughts on #Budget2022 on @News18India, addressing at a w…",,24,Twitter Web App,2022-02-07 05:17:46+00:00,36
337,achinbiyani,Achin BN Biyani,Be yourself !,Budget 2022-23 provides a push to sunrise sectors through the creation of thematic funds with the help of Blended F… https://t.co/2dvXH8Vtq5,"New Delhi, India",60,Twitter Web App,2022-02-07 05:17:45+00:00,141
338,AwasthySunil,Sunil Awasthy,,RT @arvindtw: Exclusive interview of Hon’ble MoS @GoI_MeitY Sh. @Rajeev_GoI with @TimesNow on the government’s recent announcements in #Bud…,,24,Twitter Web App,2022-02-07 05:17:11+00:00,36
339,AvinashBhutedia,Avinash Bhutedia,शिवसेना युवासेना शाखा क्र.  ५८ सोशल मीडिया शाखा समन्वयक,RT @NCP_Parliament: Moments from Central Hall of the #Parliament after the address of Hon. President of India - Maha Vikas Aghadi MPs Hon.@…,,343,Twitter for Android,2022-02-07 05:17:08+00:00,381
340,SamunnatiFin,Samunnati,"India’s largest agri-tech enterprise, Samunnati is on a mission to create an open agri-network.","this mission with smallholder farmers at the centre of it.

https://t.co/mhD3i38tWd 

#Samunnati #unionbudget2022… https://t.co/fNBB2sJe0R","Chennai, India",833,Twitter Web App,2022-02-07 05:17:06+00:00,237
341,RenukaK_stpi,Renuka K,RTs are not endorsements.,"RT @stpiindia: #STPIUPDATE: Glimpses of Sh. Arvind Kumar, DG, #STPIINDIA sharing thoughts on #Budget2022 on @News18India, addressing at a w…",,41,Twitter Web App,2022-02-07 05:16:09+00:00,42
342,RenukaK_stpi,Renuka K,RTs are not endorsements.,RT @arvindtw: Exclusive interview of Hon’ble MoS @GoI_MeitY Sh. @Rajeev_GoI with @TimesNow on the government’s recent announcements in #Bud…,,41,Twitter Web App,2022-02-07 05:15:52+00:00,42
343,Zalaji9,Dharmadipsinh Zala,"Incharge , BJP Social Media Cell , Botad Assembly.  |
Authorised Partner @EdelweissFin","RT @rsprasad: .@narendramodi Govt is committed to the welfare of farmers.

Since the launch of PM- Kisan it has provided income support to…","Botad, India",531,Twitter for Android,2022-02-07 05:15:35+00:00,347
344,SumitSh24218935,Sumit Sharma,,"RT @Omkar_Raii: Initiatives like extension of tax holiday for startups, reduction in tax burden for investors in startups, and modernizatio…",,11,Twitter for Android,2022-02-07 05:13:58+00:00,55
345,lycan03,Ravi Kanojia,,"RT @rsprasad: .@narendramodi Govt is committed to the welfare of farmers.

Since the launch of PM- Kisan it has provided income support to…",,22,Twitter for Android,2022-02-07 05:13:55+00:00,156
346,SUKHEQUITY1,SUKH@EQUITY,"If you look at what you have in life, you'll always have more. If you look at what you don't have in life, you'll never have enough. -Oprah Winfrey",“The two most powerful warriors are patience and time.” #StockMarketindia #stockmarkets #Chandigarh #daytrading… https://t.co/jVANAd1kwB,,1,Twitter for iPhone,2022-02-07 05:13:14+00:00,96
